
/dbl0	location country form
/dbl208	film format
/dbl209	film featured locations
/dbl210	tv program genre
/dbl211	organization endowed endowment.
/dbl212	film written by
/dbl213	baseball player batting
/dbl214	tv producer programs
/dbl215	government politician positions
/dbl216	base twinnedtowns twinned
/dbl217	location hud county
/dbl218	sports pro athlete
/dbl219	education educational degree
/dbl220	base petbreeds dog
/dbl221	film story contributor
/dbl222	base schemastaging organization
/dbl223	base saturdaynightlive snl
/dbl224	film format
/dbl225	tv actor starring
/dbl226	film sequel
/dbl227	film music
/dbl228	sports team roster.
/dbl229	olympics olympic medal
/dbl230	user tsegaran random
/dbl231	aviation airport airlines.
/dbl232	celebrities celebrity friends.
/dbl233	location hud foreclosure
/dbl234	base popstra religion
/dbl235	base x2010fifaworldcupsouthafrica world
/dbl236	base popstra location
/dbl237	medicine medical specialty
/dbl238	sports position players.
/dbl239	law invention inventor
/dbl240	location hud foreclosure
/dbl241	base popstra celebrity
/dbl242	location administrative division
/dbl243	protected sites natural
/dbl244	baseball team historical
/dbl245	soccer football player
/dbl246	base popstra celebrity
/dbl247	olympics olympic games
/dbl248	people profession specializations
/dbl249	computer software genre
/dbl250	education educational institution
/dbl251	base popstra organization
/dbl252	award ranked list
/dbl253	film crewmember films
/dbl254	sports sport pro
/dbl255	soccer football team
/dbl256	award hall of
/dbl257	base biblioness bibs
/dbl258	education university local
/dbl259	business operation revenue.
/dbl260	sports position players.
/dbl261	sports position players.
/dbl262	business operation retained
/dbl263	tv producer type
/dbl264	film set decoration
/dbl265	military conflict combatants.
/dbl266	sports league teams.
/dbl267	base biblioness bibs
/dbl268	film editor
/dbl269	music group member
/dbl270	olympics olympic games
/dbl271	organization parent. relationship
/dbl272	american football team
/dbl273	people person employment
/dbl274	base popstra product
/dbl275	tv program creator
/dbl276	tv program producer.
/dbl277	business employer employees.
/dbl278	location administrative division
/dbl279	film executive produced
/dbl280	location statistical region
/dbl281	food nutrients. nutrition
/dbl282	business industry companies
/dbl283	music group member
/dbl284	location statistical region
/dbl285	education field of
/dbl286	film special performance
/dbl287	tv personality regular
/dbl288	education fraternity sorority
/dbl289	education field of
/dbl290	award winning work
/dbl291	baseball team current
/dbl292	people person children
/dbl293	sports team roster.
/dbl294	organization headquarters. location
/dbl295	base aareas schema
/dbl296	location hud foreclosure
/dbl297	base aareas schema
/dbl298	tv producer programs
/dbl299	location country first
/dbl300	business operation liabilities.
/dbl301	film personal appearance
/dbl302	sports league draft
/dbl303	travel destination tourist
/dbl304	base americancomedy comedy
/dbl305	education educational institution
/dbl306	film distributors. distributor
/dbl307	travel destination climate.
/dbl308	business operation cash.
/dbl309	government governmental body
/dbl310	location statistical region
/dbl311	royalty order of
/dbl312	military commander commands.
/dbl313	film subjects
/dbl314	medicine disease notable
/dbl315	music musical group
/dbl316	education educational institution
/dbl317	base schemastaging organization
/dbl318	tv producer type
/dbl319	government office category
/dbl320	sports position players.
/dbl321	people ethnicity geographic
/dbl322	film actor film.
/dbl323	military combatant conflicts.
/dbl324	film personal appearances.
/dbl325	base schemastaging organization
/dbl326	location time zones
/dbl327	basketball team roster.
/dbl328	film story by
/dbl329	tv program recurring
/dbl330	base petbreeds city
/dbl331	transportation road major
/dbl332	basketball position player
/dbl333	education educational degree
/dbl334	base schemastaging person
/dbl335	olympics olympic games
/dbl336	base marchmadness ncaa
/dbl337	film distribution medium
/dbl338	education educational institution
/dbl339	government governmental body
/dbl340	tv network programs.
/dbl341	base contractbridge bridge
/dbl342	user tsegaran random
/dbl343	computer operating system
/dbl344	sports team roster.
/dbl345	basketball team roster.
/dbl346	military combatant commanders.
/dbl347	sports pro athlete
/dbl348	people person employment
/dbl349	music artist origin
/dbl350	people marriage union
/dbl351	royalty royal line
/dbl352	medicine disease causes
/dbl353	american football player
/dbl354	medicine drug ingredient
/dbl355	tv writer programs.
/dbl356	time event locations
/dbl357	base x2010fifaworldcupsouthafrica world
/dbl358	celebrities celebrity sexual
/dbl359	tv program spun
/dbl360	base popstra celebrity
/dbl361	government political party
/dbl362	education university domestic
/dbl363	government legislative session
/dbl364	government politician party.
/dbl365	people cause of
/dbl366	government politician positions
/dbl367	award hall of
/dbl368	organization non profit
/dbl369	award category presenting
/dbl370	base fight crime
/dbl371	base saints saint
/dbl372	medicine icd 9
/dbl373	film art director
/dbl374	education educational institution
/dbl375	film actor dubbing
/dbl376	soccer football league
/dbl377	film character portrayed
/dbl378	location country languages
/dbl379	education educational institution
/dbl380	user ktrueman default
/dbl381	tv program regular
/dbl382	award winning work
/dbl383	american football team
/dbl384	soccer football player
/dbl385	olympics olympic games
/dbl386	organization legal structure
/dbl387	base schemastaging athlete
/dbl388	location symbol of
/dbl389	award ranked item
/dbl390	people person education.
/dbl391	film set designer
/dbl392	government political appointer
/dbl393	user jg default
/dbl394	education educational degree
/dbl395	sports team roster.
/dbl396	people person sibling
/dbl397	base marchmadness ncaa
/dbl398	tv program original
/dbl399	music artist contribution.
/dbl400	sports position players.
/dbl401	film character portrayed
/dbl402	business job title
/dbl403	medicine disease parent
/dbl404	government politician positions
/dbl405	people family country
/dbl406	sports team roster.
/dbl407	tv special performance
/dbl408	education educational institution
/dbl409	basketball position player
/dbl410	music genre subgenre
/dbl411	government governmental jurisdiction
/dbl412	sports position players.
/dbl413	book school or
/dbl414	people profession specialization
/dbl415	award category of
/dbl416	base bioventurist bv
/dbl417	base popstra company
/dbl418	film cinematography
/dbl419	olympics olympic participating
/dbl420	film production design
/dbl421	organization companies acquired.
/dbl422	tv program country
/dbl423	people person parents
/dbl424	government political appointer
/dbl425	base americancomedy comedy
/dbl426	language human writing
/dbl427	film edited by
/dbl428	tv personality regular
/dbl429	award discipline awards
/dbl430	business consumer company
/dbl431	education field of
/dbl432	protected sites listed
/dbl433	tv actor starring
/dbl434	language writing system
/dbl435	military conflict commanders.
/dbl436	music performance role
/dbl437	sports team roster.
/dbl438	education educational degree
/dbl439	location us county
/dbl440	people cause of
/dbl441	finance currency countries
/dbl442	film festivals
/dbl443	government office or
/dbl444	people person spouse
/dbl445	film runtime. cut
/dbl446	location capital of
/dbl447	user coco science
/dbl448	government governmental jurisdiction
/dbl449	broadcast artist content
/dbl450	basketball team historical
/dbl451	olympics olympic medal
/dbl452	military person participated
/dbl453	base aareas schema
/dbl454	food diet follower
/dbl455	computer manufacturer
/dbl456	influence node peers.
/dbl457	government governmental body
/dbl458	olympics olympic participating
/dbl459	user hangy default
/dbl460	fictional universe character
/dbl461	base schemastaging organization
/dbl462	base activism issue
/dbl463	organization type organizations
/dbl464	organization place founded
/dbl465	award category
/dbl466	baseball player former
/dbl467	government legislative session
/dbl468	tv program regular
/dbl469	base eating practicer
/dbl470	tv program creator
/dbl471	people deceased person
/dbl472	fictional universe character
/dbl473	government political district
/dbl474	olympics olympic athlete
/dbl475	people family members
/dbl476	film release date
/dbl477	ice hockey team
/dbl478	film person or
/dbl479	location administrative division
/dbl480	location statistical region
/dbl481	organization child. relationship
/dbl482	base x2010fifaworldcupsouthafrica world
/dbl483	business operation assets.
/dbl484	government governmental body
/dbl485	music group member
/dbl486	government political appointer
/dbl487	olympics olympic games
/dbl488	geography lake cities
/dbl489	time event includes
/dbl490	time event instance
/dbl491	venture capital funded
/dbl492	military person service.
/dbl493	government governmental jurisdiction
/dbl494	tv non character
/dbl495	base americancomedy impersonated
/dbl496	sports pro athlete
/dbl497	government legislative session
/dbl498	government office category
/dbl499	business operation operating
/dbl500	soccer football position
/dbl501	people ethnicity languages
/dbl502	american football team
/dbl503	ice hockey team
/dbl504	base localfood seasonal
/dbl505	base americancomedy celebrity
/dbl506	military rank used
/dbl507	organization type
/dbl508	medicine symptom of
/dbl509	education field of
/dbl510	education university fraternities
/dbl511	government political appointer
/dbl512	government office or
/dbl513	food dietary restriction
/dbl514	olympics olympic athlete
/dbl515	location statistical region
/dbl516	business board member
/dbl517	olympics olympic athlete
/dbl518	film production designer
/dbl519	business operation net
/dbl520	film cinematographer
/dbl521	military combatant force
/dbl522	government office or
/dbl523	computer programming language
/dbl524	location statistical region
/dbl525	education field of
/dbl526	basketball position player
/dbl527	organization scope organizations
/dbl528	sports award winner
/dbl529	cvg gameplay mode
/dbl530	travel destination how
/dbl531	computer programming language
/dbl532	baseball player position
/dbl533	base fashionmodels fashion
/dbl534	military armed force
/dbl535	business operation current
/dbl536	music album genre
/dbl537	media common genre
/dbl538	base biblioness bibs
/dbl539	sports league season
/dbl540	baseball team current
/dbl541	government governmental jurisdiction
/dbl542	location neighborhood of
/dbl543	business brand owner
/dbl544	film starring. performance
/dbl545	people person education.
/dbl546	user mt default
/dbl547	olympics olympic athlete
/dbl548	location country official
/dbl549	user coco science
/dbl550	film runtime. cut
/dbl551	location partially contains
/dbl552	base thoroughbredracing thoroughbred
/dbl553	tv series season
/dbl554	medicine disease treatments
/dbl555	computer programming language
/dbl556	base fight crime
/dbl557	base popstra celebrity
/dbl558	base popstra celebrity
/dbl559	media common genre
/dbl560	film job films
/dbl561	american football player
/dbl562	time recurring event
/dbl563	base thoroughbredracing thoroughbred
/dbl564	film art direction
/dbl565	medicine disease medical
/dbl566	people person spouse
/dbl567	education university international
/dbl568	film person or
/dbl569	american football player
/dbl570	tv series season
/dbl571	government politician positions
/dbl572	broadcast genre content
/dbl573	award hall of
/dbl574	baseball player current
/dbl575	language human family
/dbl576	medicine disease cause
/dbl577	geography island body
/dbl578	olympics olympic sport
/dbl579	base academyawards host
/dbl580	government political party
/dbl581	symbols name source
/dbl582	film festival individual
/dbl583	base events performer
/dbl584	baseball team historical
/dbl585	government governmental body
/dbl586	film crewmember films
/dbl587	base parody parodied
/dbl588	base activism activist
/dbl589	organization founder organizations
/dbl590	aviation aircraft owner
/dbl591	book author school
/dbl592	government office category
/dbl593	american football team
/dbl594	base fight crime
/dbl595	olympics olympic participating
/dbl596	cvg publisher games
/dbl597	film character portrayed
/dbl598	medicine drug ingredient
/dbl599	user alexander philosophy
/dbl600	government office category
/dbl601	user alexander philosophy
/dbl602	location country currency
/dbl603	user alexander misc
/dbl604	religion deities
/dbl605	film dubbing performances.
/dbl606	sports pro athlete
/dbl607	education field of
/dbl608	military combatant force
/dbl609	dataworld gardening hint
/dbl610	broadcast content producer
/dbl611	ice hockey team
/dbl612	celebrities sexual orientation
/dbl613	base popstra celebrity
/dbl614	base localfood produce
/dbl615	film dubbing performances.
/dbl616	medicine disease risk
/dbl617	government political district
/dbl618	media common dedicator
/dbl619	base parody of
/dbl620	film actor film.
/dbl621	location partially containedby
/dbl622	people place of
/dbl623	business company type
/dbl624	sports team roster.
/dbl625	military conflict personnel
/dbl626	sports award type
/dbl627	medicine disease includes
/dbl628	fictional universe character
/dbl629	award presenting organization
/dbl630	business operation current
/dbl631	olympics olympic games
/dbl632	basketball player position
/dbl633	language family languages
/dbl634	tv writer episodes
/dbl635	military conflict force
/dbl636	computer programming language
/dbl637	film prequel
/dbl638	base thoroughbredracing thoroughbred
/dbl639	soccer football player
/dbl640	base americancomedy comedy
/dbl641	medicine medical treatment
/dbl642	sports pro athlete
/dbl643	user mt default
/dbl644	medicine disease symptoms
/dbl645	base localfood seasonal
/dbl646	food dish ingredients
/dbl647	user alexbl honorary
/dbl648	travel destination how
/dbl649	tv character appeared
/dbl650	base locations countries
/dbl651	royalty chivalric order
/dbl652	royalty kingdom rulers
/dbl653	government agency jurisdiction
/dbl654	tv location shows
/dbl655	film actor dubbing
/dbl656	tv program filming
/dbl657	tv actor starring
/dbl658	basketball team roster.
/dbl659	organization board members.
/dbl660	broadcast content artist
/dbl661	government office or
/dbl662	base schemastaging tv
/dbl663	food diet followers
/dbl664	base nobelprizes nobel
/dbl665	sports position players.
/dbl666	visual art subject
/dbl667	media common dedicatee
/dbl668	food dish cuisine
/dbl669	tv program regular
/dbl670	business consumer product
/dbl671	medicine drug active
/dbl672	military conflict casualties.
/dbl673	sports professional team
/dbl674	location statistical region
/dbl675	geography geographical feature
/dbl676	sports pro athlete
/dbl677	baseball player batting
/dbl678	american football player
/dbl679	location place with
/dbl680	soccer football player
/dbl681	military person service.
/dbl682	base popstra celebrity
/dbl683	military combatant casualties.
/dbl684	organization geographic scope
/dbl685	tv program regular
/dbl686	tennis player matches
/dbl687	base schemastaging tv
/dbl688	base schemastaging tv
/dbl689	military rank used
/dbl690	education academic advisees
/dbl691	travel tourist attraction
/dbl692	music voice singers
/dbl693	organization role leaders.
/dbl694	base yalebase secret
/dbl695	military combatant commanders.
/dbl696	military armed force
/dbl697	education educational institution
/dbl698	media common adapted
/dbl699	award hall of
/dbl700	user szaijan fantasy
/dbl701	government legislative session
/dbl702	religion organizations
/dbl703	military commander commands.
/dbl704	base contractbridge bridge
/dbl705	sports team roster.
/dbl706	fictional universe character
/dbl707	organization board members.
/dbl708	baseball player lifetime
/dbl709	basketball player team.
/dbl710	finance currency countries
/dbl711	language human region
/dbl712	sports award winner
/dbl713	aviation airport focus
/dbl714	aviation airline airports
/dbl715	tv program guest
/dbl716	film casting director
/dbl717	people ethnicity includes
/dbl718	award long list
/dbl719	travel transport terminus
/dbl720	location statistical region
/dbl721	base schemastaging tv
/dbl722	book genre
/dbl723	education field of
/dbl724	comic books book
/dbl725	sports position players.
/dbl726	base schemastaging tv
/dbl727	base wrestling solo
/dbl728	sports pro athlete
/dbl729	base onephylogeny type
/dbl730	sports championship event
/dbl731	aviation airport airlines.
/dbl732	music instrument variation
/dbl733	base x2010fifaworldcupsouthafrica world
/dbl734	computer software license
/dbl735	base eating diets
/dbl736	education academic appointments
/dbl737	fictional universe character
/dbl738	fictional universe character
/dbl739	business board member
/dbl740	film festival event
/dbl741	sports pro athlete
/dbl742	base fight sports
/dbl743	basketball team roster.
/dbl744	education educational institution
/dbl745	visual art artist
/dbl746	user robert us
/dbl747	base contractbridge bridge
/dbl748	base popstra celebrity
/dbl749	sports team roster.
/dbl750	user alexbl honorary
/dbl751	sports league sport
/dbl752	user tfmorris default
/dbl753	sports pro athlete
/dbl754	film special performance
/dbl755	broadcast radio format
/dbl756	fictional universe character
/dbl757	astronomy orbital relationship
/dbl758	astronomy orbital relationship
/dbl759	base contractbridge bridge
/dbl760	american football position
/dbl761	fictional universe character
/dbl762	government political ideology
/dbl763	government legislative session
/dbl764	base popstra business
/dbl765	user lindenb default
/dbl766	film gross revenue.
/dbl767	fictional universe character
/dbl768	government political district
/dbl769	people ethnicity included
/dbl770	film casting director
/dbl771	government office category
/dbl772	government office category
/dbl773	basketball player former
/dbl774	computer manufacturer brand
/dbl775	base popstra company
/dbl776	basketball player former
/dbl777	baseball player lifetime
/dbl778	biology organism classification
/dbl779	tennis player matches
/dbl780	business sponsor sponsorship.
/dbl781	organization sector organizations
/dbl782	base popstra celebrity
/dbl783	organization product of
/dbl784	music group member
/dbl785	sports championship event
/dbl786	book newspaper circulation
/dbl787	government governmental body
/dbl788	sports championship events
/dbl789	user tfmorris default
/dbl790	government governmental jurisdiction
/dbl791	music artist supporting
/dbl792	government governmental jurisdiction
/dbl793	sports school team
/dbl794	protected sites site
/dbl795	internet website owner
/dbl796	religion notable figures
/dbl797	tv program episodes
/dbl798	soccer football player
/dbl799	user szaijan fantasy
/dbl800	common resource annotations.
/dbl801	media common literary
/dbl802	soccer football team
/dbl803	travel transport terminus
/dbl804	tv network areas
/dbl805	protected sites listed
/dbl806	government office or
/dbl807	olympics olympic athlete
/dbl808	visual art artist
/dbl809	music instrument family
/dbl810	tv character appeared
/dbl811	basketball team historical
/dbl812	government governmental body
/dbl813	government governmental body
/dbl814	government political district
/dbl815	user robert us
/dbl816	visual art form
/dbl817	music artist album
/dbl818	government office or
/dbl819	american football coach
/dbl820	award presenting organization
/dbl821	computer software genre
/dbl822	base x2010fifaworldcupsouthafrica world
/dbl823	baseball position players
/dbl824	people appointer appointment
/dbl825	tv special performance
/dbl826	sports league season
/dbl827	sports award type
/dbl828	visual art period
/dbl829	people family member
/dbl830	organization role governors.
/dbl831	soccer football player
/dbl832	computer software developer
/dbl833	media common dedicatee
/dbl834	soccer football team
/dbl835	business sponsored recipient
/dbl836	religion religious organization
/dbl837	base contractbridge bridge
/dbl838	american football player
/dbl839	architecture building function
/dbl840	business board member
/dbl841	film series
/dbl842	sports sport leagues
/dbl843	military conflict commanders.
/dbl844	dining cuisine ingredients
/dbl845	government politician positions
/dbl846	fictional universe character
/dbl847	sports team championships
/dbl848	government politician positions
/dbl849	sports team season
/dbl850	government governmental jurisdiction
/dbl851	biology organism classification
/dbl852	ice hockey position
/dbl853	sports award winner
/dbl854	broadcast content genre
/dbl855	organization spun off
/dbl856	organization involved in
/dbl857	broadcast area served
/dbl858	business consumer company
/dbl859	tv actor guest
/dbl860	american football player
/dbl861	geography river cities
/dbl862	dining cuisine dishes
/dbl863	language dialect
/dbl864	fictional universe setting
/dbl865	base crime victim
/dbl866	religion includes
/dbl867	time event included
/dbl868	film character portrayed
/dbl869	projects project role
/dbl870	education field of
/dbl871	base events type
/dbl872	basketball player team.
/dbl873	sports drafted athlete
/dbl874	aviation airline airports
/dbl875	geography body of
/dbl876	basketball player team.
/dbl877	comic books book
/dbl878	transportation road end2.
/dbl879	sports pro athlete
/dbl880	government governmental jurisdiction
/dbl881	architecture architectural style
/dbl882	tv actor guest
/dbl883	astronomy celestial object
/dbl884	architecture structure architect
/dbl885	cvg computer videogame
/dbl886	sports position players.
/dbl887	geography island group
/dbl888	baseball player former
/dbl889	base localfood food
/dbl890	book author works
/dbl891	tv series season
/dbl892	fictional universe works
/dbl893	religion places of
/dbl894	government governmental jurisdiction
/dbl895	biology animal breed
/dbl896	cvg computer videogame
/dbl897	olympics olympic athlete
/dbl898	tv special performance
/dbl899	cvg genre games
/dbl900	sports pro athlete
/dbl901	base petbreeds dog
/dbl902	olympics olympic medal
/dbl903	basketball player statistics.
/dbl904	base popstra celebrity
/dbl905	base famouspets pet
/dbl906	government office or
/dbl907	government governmental body
/dbl908	base thoroughbredracing thoroughbred
/dbl909	tv program regular
/dbl910	base americancomedy comedian
/dbl911	travel transport operator
/dbl912	aviation airline alliance
/dbl913	base events festival
/dbl914	tv series episode
/dbl915	government office or
/dbl916	broadcast radio station
/dbl917	geography river basin
/dbl918	computer operating system
/dbl919	american football player
/dbl920	architecture structure architectural
/dbl921	tv program subjects
/dbl922	tv actor starring
/dbl923	music genre albums
/dbl924	cvg computer videogame
/dbl925	film personal appearances.
/dbl926	sports tournament event
/dbl927	tv series episode
/dbl928	cvg developer games
/dbl929	fictional universe characters
/dbl930	award hall of
/dbl931	sports drafted athlete
/dbl932	american football player
/dbl933	base popstra company
/dbl934	venture capital investor
/dbl935	government governmental jurisdiction
/dbl936	people deceased person
/dbl937	celebrities celebrity sexual
/dbl938	education school lowest
/dbl939	tv character appeared
/dbl940	organization role governors.
/dbl941	tv non character
/dbl942	government office or
/dbl943	location nearby airports
/dbl944	tv non character
/dbl945	medicine disease prevention
/dbl946	book written work
/dbl947	cvg computer videogame
/dbl948	government governmental body
/dbl949	film personal appearance
/dbl950	biology breed registry
/dbl951	award hall of
/dbl952	film actor dubbing
/dbl953	base localfood produce
/dbl954	base popstra restaurant
/dbl955	sports team roster.
/dbl956	base crime victim
/dbl957	computer operating system
/dbl958	religion is part
/dbl959	biology animal breed
/dbl960	user narphorium people
/dbl961	base schemastaging organization
/dbl962	travel transport operator
/dbl963	medicine drug legal
/dbl964	tv program spin
/dbl965	broadcast producer produces
/dbl966	media common adaptation
/dbl967	american football player
/dbl968	tv character appeared
/dbl969	cvg game character
/dbl970	soccer football player
/dbl971	government office category
/dbl972	ice hockey player
/dbl973	computer software developer
/dbl974	fictional universe setting
/dbl975	aviation airline alliance
/dbl976	baseball league teams
/dbl977	olympics olympic athlete
/dbl978	games game genre
/dbl979	basketball player team.
/dbl980	base rugby player
/dbl981	government governmental jurisdiction
/dbl982	medicine infectious disease
/dbl983	baseball player current
/dbl984	tv series season
/dbl985	biology domesticated animal
/dbl986	cvg computer videogame
/dbl987	film dubbing performances.
/dbl988	biology breed origin
/dbl989	religion deity of
/dbl990	fictional universe work
/dbl991	broadcast radio station
/dbl992	sports championship event
/dbl993	film character portrayed
/dbl994	computer operating system
/dbl995	food ingredient incompatible
/dbl996	architecture type of
/dbl997	american football player
/dbl998	computer programming language
/dbl999	baseball team current
/dbl1000	book periodical subject
/dbl1001	ice hockey player
/dbl1002	organization leadership. leadership
/dbl1003	base nobelprizes nobel
/dbl1004	royalty noble title
/dbl1005	ice hockey team
/dbl1006	basketball position players
/dbl1007	base argumentmaps morally
/dbl1008	base contractbridge bridge
/dbl1009	base fight sentence
/dbl1010	sports professional team
/dbl1011	ice hockey player
/dbl1012	aviation airline hubs
/dbl1013	common annotation category
/dbl1014	location it province
/dbl1015	tv actor guest
/dbl1016	architecture architect architectural
/dbl1017	base schemastaging tv
/dbl1018	baseball team league
/dbl1019	organization spin offs.
/dbl1020	film featured song
/dbl1021	computer compatible oses.
/dbl1022	dining cuisine restaurant
/dbl1023	base fashionmodels hair
/dbl1024	film company films.
/dbl1025	base argumentmaps abstract
/dbl1026	sports team owner
/dbl1027	location country currency
/dbl1028	user tsegaran computer
/dbl1029	base petbreeds dog
/dbl1030	book subject works
/dbl1031	comic books book
/dbl1032	base contractbridge bridge
/dbl1033	aviation airport serves
/dbl1034	film other companies.
/dbl1035	cvg computer game
/dbl1036	architecture structure address.
/dbl1037	travel transport operator
/dbl1038	biology animal breed
/dbl1039	government governmental body
/dbl1040	geography lake type
/dbl1041	sports pro athlete
/dbl1042	cvg computer videogame
/dbl1043	music album artist
/dbl1044	people appointee position.
/dbl1045	education school district
/dbl1046	aviation airport hub
/dbl1047	computer software compatible
/dbl1048	astronomy star system
/dbl1049	fictional universe character
/dbl1050	architecture architectural style
/dbl1051	sports position players.
/dbl1052	martial arts artist
/dbl1053	fictional universe work
/dbl1054	base schemastaging tv
/dbl1055	geography geographical feature
/dbl1056	american football team
/dbl1057	religion texts
/dbl1058	media common dedicated
/dbl1059	film festival location
/dbl1060	theater character portrayed
/dbl1061	chemistry chemical compound
/dbl1062	base x2010fifaworldcupsouthafrica world
/dbl1063	biology organism classification
/dbl1064	sports team roster.
/dbl1065	architecture building function
/dbl1066	theater genre plays
/dbl1067	religion practices
/dbl1068	base ecology ecosystem
/dbl1069	internet website category
/dbl1070	law inventor inventions
/dbl1071	fictional universe character
/dbl1072	periodicals newspaper circulation
/dbl1073	soccer football team
/dbl1074	base newsevents news
/dbl1075	people appointed role
/dbl1076	baseball player current
/dbl1077	education academic research
/dbl1078	user robert us
/dbl1079	tv series episode
/dbl1080	broadcast content language
/dbl1081	book magazine genre
/dbl1082	book written work
/dbl1083	baseball player current
/dbl1084	music concert tour
/dbl1085	base crime convicted
